Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
iion Pty Ltd,Mexico,phantom breaker: battle grounds ultimate - official launch trailer,Not Applicable,,,,,,,,,,no_comparable,,397600,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),El Salvador,finding christmas,Adventure,[IAB1-5],Movies,externa,coincide,,tt11985236,movie,"Adventure,Family",B,coincide,,397440,"[325, 334]",Movies > Action and Adventure Movies | Movies > Family and Children Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,the adventures of paula peril: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt3916634,movie,"Action,Adventure,Mystery",A,coincide,,397440,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,zero waste,Documentary,[IAB1-5],Movies,externa,coincide,,tt27849980,movie,Documentary,B,coincide,,392320,[332],Movies > Documentary Movies,[IAB1-5],2,3,externa,imdb
Select Plus PTE LTD (CTV),Argentina,glover - official first patch reveal trailer,Not Applicable,,,,,,,,,,no_comparable,,390720,,,[IAB1],0,0,ninguna,
TCL ADS - Springserve,Argentina,me casé sin ti,Drama,[IAB1-22],Arts & Entertainment (tier 2 inexistente),interna,compatible,generico,,,,,no_comparable,,389040,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Chile,the convent,Horror,[IAB1-5],Movies,externa,coincide,,tt0217331,movie,"Comedy,Horror",B,coincide,,388640,"[330, 336]",Movies > Comedy Movies | Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
Select Plus PTE LTD (CTV),Chile,a wider screen,Documentary,[IAB1-5],Movies,externa,compatible,generico,tt35432132,short,"Documentary,Short",A,coincide,,387520,[332],Movies > Documentary Movies,[IAB1-5],2,3,externa,declarado
TCL ADs (APAC),Argentina,the fast and the furious,Drama,[IAB1-5],Movies,externa,coincide,,tt0046969,movie,"Crime,Drama,Film-Noir",B,coincide,,387040,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Argentina,13 score: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt3168890,movie,Horror,A,no_coincide,,386880,[336],Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Argentina,tour de france 2025 - official refueling mechanism trailer,Not Applicable,,,,,,,,,,no_comparable,,385760,,,[IAB1],0,0,ninguna,
Televisa Univision via SpringServe,Mexico,golden edge,Comedy,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,383920,"[330, 646]",Movies > Comedy Movies | Television > Comedy TV,[IAB1],1,2,interna,
"Coocaa, a SKYWORTH company",Venezuela,the cube usa ep 2 talk to me nice,Not Applicable,[IAB1-7],Television,interna,coincide,,,,,,no_comparable,,381760,,,,2,2,ninguna,titulo
iion Pty Ltd,Colombia,the amazing maurice,Anime,[IAB1-5],Movies,externa,coincide,,tt10473036,movie,"Adventure,Animation,Comedy",A,coincide,,381600,"[325, 329, 330, 335, 334]",Movies > Action and Adventure Movies | Movies > Animation Movies | Movies > Comedy Movies | Movies > Fantasy Movies | Movies > Family and Children Movies,[IAB1-5],2,3,externa,imdb
