Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADs (APAC),Argentina,e4. powering batteries and gadgets in rvs,34800,,,,,,,serie,titulo,powering batteries and gadgets in rvs,,4
iion Pty Ltd,Argentina,el zorro viejo temporada 8,34400,,,,,,,serie,titulo,el zorro viejo,8,
OTTera.tv,Ecuador,gunnie season,34240,,,,,,,serie,titulo,gunnie season,,
iion Pty Ltd,Chile,monster town season 1,33760,tt8561356,tvSeries,Animation,D,,,serie,titulo,monster town,1,
PML Digital,Mexico,vitaminix season 1,32960,tt6469326,tvSeries,"Animation,Documentary,Family",C,,,serie,titulo,vitaminix,1,
OTTera.tv,Ecuador,mario + rabbids sparks of hope season 1,32000,,,,,,,serie,titulo,mario + rabbids sparks of hope,1,
iion Pty Ltd,Colombia,bunny brothers season 1,31840,tt29687367,tvSeries,Animation,C,,,serie,titulo,bunny brothers,1,
TCL ADS - Springserve,Costa Rica,barrytiger (english) season 1,31680,,,,,,,serie,titulo,barrytiger (english),1,
TCL ADs (APAC),Argentina,watchcar season 1,30880,,,,,,,serie,titulo,watchcar,1,
iion Pty Ltd,Argentina,speedracer- the next generation season 1,30720,,,,,,,serie,titulo,speedracer- the next generation,1,
TCL ADs (APAC),Ecuador,e3. next stop mars,30400,,,,,,,serie,titulo,next stop mars,,3
