Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Select Plus PTE LTD (CTV),Uruguay,andor: season 2 - official 'win' teaser trailer,95520,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
Select Plus PTE LTD (CTV),Chile,northwest passage: trailer,94560,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
TCL ADS - Springserve,Mexico,e4. pakistan,94240,tt2820606,short,"Documentary,Short",A,,Not Available,serie,titulo,pakistan,,4
OTTera.tv,Mexico,super truck season 1,94240,,,,,,Not Available,serie,titulo,super truck,1,
iion Pty Ltd,Colombia,rebelde,94080,tt14153686,tvSeries,"Comedy,Drama,Music",B,infantil-familia,Not Available,serie,imdb,rebelde,,
iion Pty Ltd,Mexico,the aviators: s1. the aviators,93600,tt1700449,tvSeries,Documentary,B,,Not Available,serie,imdb,the aviators,1,
Televisa Univision via SpringServe,Mexico,parodiando,93360,tt14048776,tvSeries,Comedy,A,,Not Available,serie,imdb,parodiando,,
PML Digital,Argentina,e3. somalia: battle in the sea,92160,,,,,,Not Available,serie,titulo,somalia: battle in the sea,,3
OTTera.tv,Panama,plant center,91680,,,,,,Not Available,serie,intra_titulo,Plant Center,,
Select Plus PTE LTD (CTV),Argentina,something scary season 3,91520,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,3,
iion Pty Ltd,Peru,container masters,91360,tt10257240,tvSeries,Reality-TV,A,,Not Available,serie,imdb,container masters,,
OTTera.tv,Argentina,tiny trucks season 1,91200,tt7821952,tvSeries,"Animation,Family",A,,Not Available,serie,titulo,tiny trucks,1,
OTTera.tv,Chile,future chicken - music videos season 2,90880,,,,,,Not Available,serie,titulo,future chicken - music videos,2,
