Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Argentina,los archivos del fbi temporada 4,34400,,,,,,,serie,titulo,los archivos del fbi,4,
TCL ADs (APAC),Mexico,el caso de mi vida: temporada 5,34400,,,,,,,serie,titulo,el caso de mi vida,5,
OTTera.tv,Mexico,super police barry（english) season 1,33680,,,,,,,serie,titulo,super police barry（english),1,
iion Pty Ltd,Argentina,tom's paint shop season 1,33600,,,,,,,serie,titulo,tom's paint shop,1,
OTTera.tv,Colombia,crea'tim season 1,33120,,,,,,,serie,titulo,crea'tim,1,
TCL ADs (APAC),Ecuador,find the hidden object: season 3,32640,,,,,,,serie,titulo,find the hidden object,3,
iion Pty Ltd,Mexico,minituns - en season 1,32480,,,,,,,serie,titulo,minituns - en,1,
TCL ADs (APAC),Ecuador,sonic superstars season 1,32480,,,,,,,serie,titulo,sonic superstars,1,
TCL ADs (APAC),Mexico,count hidden objects: season 14,31840,,,,,,,serie,titulo,count hidden objects,14,
METAX SOFTWARE PTE. LTD. (Exchange),Colombia,forest frenzy of boonie bears season 3,31360,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
OTTera.tv,Ecuador,babybus canciones infantiles - temporada 1,30880,,,,,,,serie,titulo,babybus canciones infantiles,1,
TCL ADS - Springserve,Costa Rica,lmn's season 1,30240,,,,,,,serie,titulo,lmn's,1,
Select Plus PTE LTD (CTV),Panama,robofuse season 1,29600,,,,,,,serie,titulo,robofuse,1,
