Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,hasta que el dinero nos separe,Comedy,"[IAB1, IAB1-5]",Arts & Entertainment | Movies,externa,contradice,forma:pelicula!=tv,tt0815736,tvSeries,"Comedy,Drama,Romance",B,coincide,vertical,3410880,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
TCL ADs (APAC),Colombia,pbs news hour - full show,"news,global news,news & opinion",[-7],,,,,,,,,no_comparable,,3164320,[379],News and Politics,[IAB12],0,1,interna,
Roku - oRTB,Mexico,Not Applicable,"horror,mystery,thriller,foreign","[IAB1-5, IAB1-7]",Movies | Television,interna,compatible,forma_ambigua,,,,,no_comparable,,3009920,,,,2,2,interna,
Kargo,Mexico,Not Applicable,genre_drama,[-7],,,,,,,,,no_comparable,,2998720,,,[IAB1],0,0,ninguna,
OTTera.tv,Mexico,king of newark,"action,drama,crime",[-7],,,,,tt5463114,movie,"Action,Crime,Drama",A,coincide,,2878080,"[325, 331, 333]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Mexico,from other worlds,"comedy,sci-fi",[-7],,,,,tt0363623,movie,"Comedy,Sci-Fi",B,coincide,,2847200,"[330, 327]",Movies > Comedy Movies | Movies > Science Fiction Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Argentina,dw español,News,[-7],,,,,,,,,no_comparable,,2714880,[379],News and Politics,[IAB12],0,1,interna,
"Coocaa, a SKYWORTH company",Argentina,bastidores desimpain na kings brasil - todos os confrontos das quartas de final,Reality,[IAB17],Sports,interna,compatible,generico,,,,,no_comparable,,2443680,[651],Television > Reality TV,[IAB1-7],1,3,interna,contentSeries
TCL ADS - Springserve,Mexico,corona: trailer,Drama,[-7],,,,,tt11766262,movie,"Drama,Thriller",B,coincide,,2343520,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
Roku - oRTB,Mexico,roku,"science,documentary","[IAB1-5, IAB15, IAB19]",Movies | Science | Technology & Computing,interna,compatible,generico,,,,,no_comparable,,2334080,[332],Movies > Documentary Movies,[IAB1-5],2,3,interna,declarado
TCL ADs (APAC),Mexico,milenio televisión,News,[Live],Live,ninguna,no_evaluable,sin_codigo_evaluable,,,,,no_comparable,,2329680,[379],News and Politics,[IAB12],0,1,interna,
OTTera.tv,Mexico,antisocial,"horror,horror,thriller",[-7],,,,,tt2772092,movie,"Horror,Sci-Fi,Thriller",B,coincide,,2296800,"[336, 327, 331]",Movies > Horror Movies | Movies > Science Fiction Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
TCL ADs (APAC),Argentina,the harbortown bobber,"documentary,action,adventure,biography,sports",[-7],,,,,tt1562884,movie,"Action,Adventure,Documentary",A,coincide,,2235840,[483],Sports,[IAB17],0,1,externa,imdb
OTTera.tv,Mexico,cookies and cream_trailer,Drama,[-7],,,,,,,,,no_comparable,,2220160,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,corazon salvaje 1993,Drama,[-7],,,,,,,,,no_comparable,,2181760,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
iion Pty Ltd,Mexico,penance lane,Drama,[-7],,,,,tt1964995,movie,Horror,A,no_coincide,,2165120,[336],Movies > Horror Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Mexico,calm rain,outdoors,[IAB1-5],Movies,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,1940640,,,,2,2,ninguna,declarado
TCL ADs (APAC),Mexico,13 fanboy,Horror,[-7],,,,,tt9077876,movie,Horror,A,coincide,,1926560,[336],Movies > Horror Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,herschell gordon lewis' bloodmania_trailer,Horror,[-7],,,,,,,,,no_comparable,,1818400,[336],Movies > Horror Movies,[IAB1],0,2,interna,
TCL ADS - Springserve,Mexico,haunted%202%3a%20appartions_trailer,Horror,[-7],,,,,,,,,no_comparable,,1788960,[336],Movies > Horror Movies,[IAB1],0,2,interna,
Televisa Univision via OB,Mexico,Not Applicable,Sports,[-7],,,,,,,,,no_comparable,,1778960,[483],Sports,[IAB17],0,1,interna,
