Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
OTTera.tv,Chile,chicken stew season 7,134080,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,7,
iion Pty Ltd,Colombia,chicken stew season 3,133440,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,3,
iion Pty Ltd,Argentina,drive thru history season 5,132640,tt1281983,tvSeries,"Documentary,Family,History",A,,Not Available,serie,titulo,drive thru history,5,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,tres caines,132320,tt2787900,tvSeries,"Action,Drama",A,telenovela,Not Available,serie,imdb,tres caines,,
OTTera.tv,Colombia,invent'tom season 1,132320,,,,,,Not Available,serie,titulo,invent'tom,1,
OTTera.tv,Guatemala,dread the unsolved,130240,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
TCL ADs (APAC),Colombia,andor: season 2 - official stealing the tie fighter clip,128160,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
OTTera.tv,Dominican Republic,returned,128160,tt2521668,tvSeries,"Drama,Horror,Mystery",B,,Not Available,serie,imdb,returned,,
PML Digital,Argentina,locked in hellsend,128160,,,,,,Not Available,serie,intra_titulo,Locked in Hellsend,,
TCL ADS - Springserve,Argentina,chicken stew season 1,127680,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,1,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,rosalinda,127120,tt0202200,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,rosalinda,,
Select Plus PTE LTD (CTV),Mexico,discover,126880,tt11846384,tvSeries,Documentary,B,,Not Available,serie,imdb,discover,,
TCL ADs (APAC),Peru,haus of horror,126720,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
TCL ADS - Springserve,Mexico,gunnie season,126080,,,,,,Not Available,serie,titulo,gunnie season,,
iion Pty Ltd,Argentina,chicken stew season 3,125520,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,3,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la familia p luche,124400,tt1244672,tvSeries,Comedy,A,,Not Available,serie,imdb,la familia p luche,,
iion Pty Ltd,Argentina,rob the ranger: season 2,123120,,,,,,Not Available,serie,titulo,rob the ranger,2,
iion Pty Ltd,Argentina,rob the ranger: season 2,122720,,,,,,Not Available,serie,titulo,rob the ranger,2,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,promesas y milagros,120160,tt27426673,tvSeries,Documentary,A,,Not Available,serie,imdb,promesas y milagros,,
METAX SOFTWARE PTE. LTD. (Exchange),Argentina,los nuevos detectives temporada 2,119040,,,,,,Not Available,serie,titulo,los nuevos detectives,2,
OTTera.tv,Argentina,babybus canciones infantiles - temporada 10,119040,,,,,,Not Available,serie,titulo,babybus canciones infantiles,10,
TCL ADS - Springserve,Mexico,guilt,116960,tt9644058,tvSeries,"Comedy,Crime,Drama",B,,Not Available,serie,imdb,guilt,,
OTTera.tv,Venezuela,real stories with christ - season three,116640,,,,,,Not Available,serie,titulo,real stories with christ,,
TCL ADS - Springserve,Mexico,chicken stew season 3,116480,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,3,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,te ame una vez,116320,tt10855046,tvSeries,Drama,A,romance,Not Available,serie,imdb,te ame una vez,,
iion Pty Ltd,Colombia,rider,115520,tt4215810,movie,Thriller,D,,Not Available,serie,intra_titulo,rider,,
iion Pty Ltd,Colombia,rob the ranger: season 2,114560,,,,,,Not Available,serie,titulo,rob the ranger,2,
TCL ADs (APAC),Mexico,chicken%20stew%20season%206,114400,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,imdb,chicken%20stew%20season%206,,
PML Digital,Chile,something scary season 3,114240,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,3,
Televisa Univision via SpringServe,Peru,maria la del barrio,112320,tt0163464,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,maria la del barrio,,
iion Pty Ltd,Chile,haus%20of%20horror,110880,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus%20of%20horror,,
TCL ADs (APAC),Mexico,bubba's world,110080,tt1572209,tvSeries,Reality-TV,B,,Not Available,serie,imdb,bubba's world,,
Unruly Group LLC (oRTB),Colombia,grudge race,109760,tt6291472,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge race,,
OTTera.tv,Argentina,grudge race,108480,tt6291472,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge race,,
TCL ADS - Springserve,Chile,grudge race,108320,tt6291472,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge race,,
