Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
TCL ADS - Springserve,Costa Rica,la mujer del anarquista,Drama,[IAB1-5],Movies,externa,coincide,,tt0962709,movie,"Drama,History",A,coincide,,671200,"[333, 332]",Movies > Drama Movies | Movies > Documentary Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Chile,melody,Drama,[IAB1-7],Television,externa,coincide,,tt25437934,tvSeries,"Comedy,Drama,Musical",B,coincide,,670880,"[646, 647]",Television > Comedy TV | Television > Drama TV,[IAB1-7],2,3,externa,imdb
TCL ADs (APAC),Colombia,la colonia perdida,Fantasy,[IAB1-5],Movies,externa,compatible,generico,tt0875696,tvMovie,"Fantasy,Horror,Mystery",A,coincide,,667680,"[335, 336, 331]",Movies > Fantasy Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,declarado
TCL ADs (APAC),Ecuador,let me in 2_trailer,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,662080,[336],Movies > Horror Movies,[IAB1],1,2,interna,
"SpringServe, LLC",Mexico,Not Applicable,Not Applicable,[640],Television,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,651520,,,,2,2,ninguna,declarado
"Coocaa, a SKYWORTH company",Mexico,surfing favela,Sports,[IAB17],Sports,externa,coincide,,tt0949774,movie,Documentary,A,sin_genero_declarado,vertical,625760,[505],Sports > Extreme Sports > Surfing and Bodyboarding,[IAB17-37],1,2,externa,imdb
iion Pty Ltd,Argentina,purple pin,Not Applicable,,,,,,,,,,no_comparable,,624960,,,[IAB1],0,0,ninguna,
OTTera.tv,Mexico,lethal secret,Drama,[IAB1-5],Movies,externa,coincide,,tt38706739,movie,Romance,A,no_coincide,,616480,[326],Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Peru,only god can,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt3589144,movie,Family,A,no_coincide,,611680,[334],Movies > Family and Children Movies,[IAB1-5],1,3,externa,imdb
PML Digital,Ecuador,Not Applicable,Not Applicable,[sports],sports,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,610400,,,,1,1,ninguna,
Televisa Univision via SpringServe,Guatemala,manana es para siempre,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0039041,movie,"Drama,Romance,War",B,coincide,,606960,"[333, 326, 325, 331]",Movies > Drama Movies | Movies > Romance Movies | Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Colombia,1745 (clive russell),Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,605600,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
OTTera.tv,Colombia,cult film,Comedy,[IAB1],Arts & Entertainment,externa,compatible,generico,tt8982658,short,"Comedy,Drama,Short",A,coincide,,604000,"[330, 646, 333, 647]",Movies > Comedy Movies | Television > Comedy TV | Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,externa,
iion Pty Ltd,Colombia,tomahawk trail,Western,[IAB1-5],Movies,externa,coincide,,tt0165990,movie,"Drama,Western",A,coincide,,595200,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Mexico,christmas eve,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0039266,movie,"Comedy,Drama",B,coincide,,594720,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Chile,la isla mínima,Crime,[IAB1-5],Movies,externa,coincide,,tt3253930,movie,"Crime,Mystery,Thriller",A,coincide,,590240,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Chile,bad people,Action,[IAB1-5],Movies,externa,compatible,generico,tt9428786,short,"Action,Drama,History",B,coincide,,588000,"[325, 333, 332]",Movies > Action and Adventure Movies | Movies > Drama Movies | Movies > Documentary Movies,[IAB1-5],2,3,externa,declarado
Select Plus PTE LTD (CTV),Colombia,cyber rats - official announcement trailer,Not Applicable,,,,,,,,,,no_comparable,,585920,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),Colombia,impossible horror,Horror,[IAB1-5],Movies,externa,coincide,,tt7509538,movie,Horror,A,coincide,,578080,[336],Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,para volver a amar,Drama,"[IAB1, IAB1-5]",Arts & Entertainment | Movies,externa,contradice,forma:pelicula!=tv,tt1699171,tvSeries,Drama,A,coincide,vertical,569600,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
OTTera.tv,Mexico,the safety plan: trailer,Drama,[IAB1-5],Movies,externa,compatible,generico,tt9417986,tvMovie,"Comedy,Drama",B,coincide,,569280,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,declarado
TCL ADS - Springserve,Panama,beast no more: trailer,Drama,[IAB1-5],Movies,externa,coincide,,tt4634402,movie,"Horror,Thriller",A,no_coincide,,554560,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Argentina,time to love,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0167400,movie,"Drama,Romance",B,coincide,,554400,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],1,3,externa,imdb
TCL ADS - Springserve,Chile,Not Applicable,Lifestyle,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,553600,,,,1,1,interna,
iion Pty Ltd,Colombia,reunion from hell: trailer,Horror,[IAB1-5],Movies,externa,coincide,,tt11783786,movie,Horror,A,coincide,,552480,[336],Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Argentina,mia,Thriller,[IAB1-22],Arts & Entertainment (tier 2 inexistente),externa,compatible,generico,tt1554921,movie,"Action,Drama,Thriller",B,coincide,,546720,"[325, 333, 331]",Movies > Action and Adventure Movies | Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Colombia,the adventures of paula peril: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt3916634,movie,"Action,Adventure,Mystery",A,coincide,,540480,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Chile,wild assault - official early access gameplay trailer,Not Applicable,,,,,,,,,,no_comparable,,538240,,,[IAB1],0,0,ninguna,
Roku - oRTB,Mexico,epg,Entertainment,"[IAB1-2, IAB1-6, IAB1-7, IAB11, IAB12, IAB12-2]","Celebrity Fan/Gossip | Music | Television | Law, Gov't & Politics | News | National News",ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,535040,,,,2,2,ninguna,declarado
TCL ADs (APAC),Mexico,always%20a%20thorn,Not Applicable,,,,,,tt7901386,short,Short,C,no_comparable,,533280,,,[IAB1],0,0,ninguna,
OTTera.tv,Mexico,best classic tv,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,525600,,,,1,1,ninguna,
OTTera.tv,Costa Rica,teenage superstars,Documentary,[IAB1],Arts & Entertainment,externa,compatible,generico,tt3414374,movie,"Documentary,Music",A,coincide,,524800,[332],Movies > Documentary Movies,[IAB1-5],1,3,externa,imdb
