Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_detalle,ser_es,serie_propuesta
AWG Media,Mexico,justice,49200,tt0251114,movie,"Drama,War",B,,Cain,IMDb movie Hart's War (tt0251114),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,el pirata,48960,tt0068442,movie,"Action,Drama",B,,Compañero de Cena,IMDb movie The Pirate (tt0068442),pelicula,
LG Ads EMEA - SS,Mexico,muñecas peligrosas,48880,tt0311554,movie,"Action,Adventure,Comedy",A,,Chicos del Barrio,IMDb movie Muñecas peligrosas (tt0311554),pelicula,
LG Ads EMEA - SS,Mexico,rostos na multidão,48880,tt1536410,movie,"Crime,Drama,Mystery",A,terror,The Good Doctor,IMDb movie Faces in the Crowd (tt1536410),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,jurassic school,48800,tt6131386,movie,"Comedy,Drama,Family",A,,Alto! Señorita Hua,IMDb movie Jurassic School (tt6131386),pelicula,
Scripps - FreeWheel,Puerto Rico,on+the+ropes,48480,tt0181733,movie,"Documentary,Drama,Sport",B,,Blue Bloods,IMDb movie On the Ropes (tt0181733),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,la emboscada,48160,tt0137494,movie,"Action,Crime,Romance",B,drama,Fago,IMDb movie Entrapment (tt0137494),pelicula,
LG Ads EMEA - SS,Colombia,problemas,48080,tt30217143,movie,"Action,Comedy,Crime",A,,Acorralada,IMDb movie Trouble (tt30217143),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,dragon crusaders,48000,tt1999141,movie,"Action,Adventure,Fantasy",A,,City Confidential,IMDb movie Dragon Crusaders (tt1999141),pelicula,
LG Ads EMEA - SS,Mexico,terapia do sexo,47680,tt1932718,movie,"Comedy,Drama,Romance",B,,The Good Doctor,IMDb movie Thanks for Sharing (tt1932718),pelicula,
LG Ads EMEA - SS,Mexico,thunder,47520,tt0086434,movie,"Action,Crime,Drama",B,,The Chosen,IMDb movie Thunder (tt0086434),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,el asesino del alfabeto,47440,tt0818165,movie,"Crime,Mystery,Thriller",A,,El Asesino del Alfabeto,IMDb movie The Alphabet Killer (tt0818165),pelicula,
Scripps - FreeWheel,Puerto Rico,dressed+to+kill,47360,tt0080661,movie,"Crime,Drama,Mystery",B,terror,NCIS,IMDb movie Dressed to Kill (tt0080661),pelicula,
OTTera.tv,Mexico,invitacion a morir,47360,tt0419848,movie,"Action,Crime,Mystery",A,,AtmosphereTV,IMDb movie Invitación a morir (tt0419848),pelicula,
Scripps - FreeWheel,Puerto Rico,poetic+justice,47040,tt0107840,movie,"Drama,Romance",B,,Blue Bloods,IMDb movie Poetic Justice (tt0107840),pelicula,
Scripps - FreeWheel,Puerto Rico,sins+of+the+past,47040,tt5808858,movie,"Crime,Drama,Thriller",B,,FBI,IMDb movie Sins of the Past (tt5808858),pelicula,
Scripps - FreeWheel,Puerto Rico,blood+and+bone,46400,tt0346631,movie,"Action,Crime,Drama",A,,Blood And Bone,IMDb movie Blood and Bone (tt0346631),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,infiel y cachonda,46240,tt40602526,movie,Comedy,A,,El Talismán,IMDb movie Infiel y cachonda (tt40602526),pelicula,
Kidoodle OpenWrap OTT,Mexico,world 1 - part 1,46160,tt3683544,movie,"Action,Sci-Fi,Thriller",A,,Yoshi's Woolly World,IMDb movie Quantum (tt3683544),pelicula,
Scripps - FreeWheel,Puerto Rico,mama,45920,tt1216496,movie,"Crime,Drama,Mystery",B,,Law and Order SVU,IMDb movie Mother (tt1216496),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,age of dinosaurs,45760,tt2518926,movie,"Action,Adventure,Sci-Fi",A,,City Confidential,IMDb movie Age of Dinosaurs (tt2518926),pelicula,
