Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Vidaa,Mexico,para volver a amar,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1699171,tvSeries,Drama,A,coincide,,29016400,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,atrevete a sonar,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1364356,tvSeries,"Drama,Romance",B,coincide,,27977680,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,hasta que el dinero nos separe,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0815736,tvSeries,"Comedy,Drama,Romance",B,coincide,,26532160,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,vecinos,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0011508,short,"Comedy,Romance,Short",B,coincide,,25531120,"[330, 646, 326]",Movies > Comedy Movies | Television > Comedy TV | Movies > Romance Movies,[IAB1],1,2,externa,
Vidaa,Mexico,manana es para siempre,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0039041,movie,"Drama,Romance,War",B,coincide,,24309600,"[333, 326, 325, 331]",Movies > Drama Movies | Movies > Romance Movies | Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
Vidaa,Mexico,cuando me enamoro se detiene el tiempo,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,24198800,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,sortilegio,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1439031,tvSeries,"Drama,Romance",B,coincide,,23466080,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,nosotros los guapos,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt7112114,tvSeries,Comedy,A,coincide,,22871200,[646],Television > Comedy TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la gata,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt3596316,tvSeries,"Action,Drama,Family",B,coincide,,22452160,"[647, 645, 642]",Television > Drama TV | Television > Children's TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la usurpadora 1998,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,20369920,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,por ella soy eva,Comedy,[IAB12],News,interna,contradice,vertical:noticias,tt2206767,tvSeries,Drama,C,no_comparable,,19754800,"[330, 646]",Movies > Comedy Movies | Television > Comedy TV,[IAB1],1,2,interna,
