Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
iion Pty Ltd,Colombia,rnb motion podcast,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,501440,,,,1,1,ninguna,
OTTera.tv,Peru,faith in the family: spirit of christmas,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,499360,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Colombia,she devils on wheels_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,498720,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
OTTera.tv,Peru,revuelta por la paloma,Fantasy,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,497120,[335],Movies > Fantasy Movies,[IAB1],1,2,interna,
Vidaa  APAC Hisense Headquarter,Argentina,rebelde hd,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,496480,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Colombia,in the darkness: trailer,Horror,[IAB1-5],Movies,externa,coincide,,tt1391034,movie,"Drama,Horror,Mystery",B,coincide,,496480,"[333, 336, 331]",Movies > Drama Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Chile,forgiven,Western,[IAB1-5],Movies,externa,coincide,,tt1773432,movie,"Drama,Western",B,coincide,,486400,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Mexico,anthony,Not Applicable,[IAB1-5],Movies,externa,compatible,generico,tt3197500,short,"Comedy,Drama,Fantasy",B,sin_genero_declarado,,484320,"[330, 333, 335]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Fantasy Movies,[IAB1-5],2,3,externa,declarado
TCL ADS - Springserve,Costa Rica,the crossroads,Drama,[IAB1-5],Movies,externa,coincide,,tt0189499,movie,"Drama,Romance",B,coincide,,479280,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
Select Plus PTE LTD (CTV),Chile,armero,Drama,[IAB1-5],Movies,externa,coincide,,tt5329852,movie,Drama,A,coincide,,476480,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Mexico,prime crime,"documentary,crime",[IAB1-7],Television,externa,coincide,,tt28256211,tvSeries,"Documentary,News",B,coincide,,476160,[648],Television > Factual TV,[IAB1-7],2,3,externa,imdb
Select Plus PTE LTD (CTV),Argentina,lady belladonna's night shades_trailer,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,472320,[336],Movies > Horror Movies,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Chile,let me in 2_trailer,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,470880,[336],Movies > Horror Movies,[IAB1],1,2,interna,
"Coocaa, a SKYWORTH company",Chile,goats - cicinho,biography,[IAB1-7],Television,interna,compatible,generico,,,,,no_comparable,,466400,[648],Television > Factual TV,[IAB1-7],2,3,interna,contentSeries
"Coocaa, a SKYWORTH company",Chile,the xtra time,sports talk show,[IAB17],Sports,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,464640,[640],Television,[IAB1-7],1,2,serie,contentSeries
Select Plus PTE LTD (CTV),Argentina,much ado,Drama,[IAB1-5],Movies,externa,coincide,,tt11614620,movie,"Comedy,Drama,Romance",B,coincide,,464320,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,vidas ocultas,Drama,[IAB1-5],Movies,externa,coincide,,tt0171698,movie,"Crime,Drama,Mystery",B,coincide,,458560,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Mexico,operation overreach universe part 4: survive,"drama,thriller,drama,thriller,action",[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,454720,"[325, 331, 333, 647]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies | Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Argentina,black snow,Not Applicable,[IAB1-5],Movies,externa,coincide,,tt10515988,movie,"Horror,Mystery,Thriller",B,sin_genero_declarado,,449120,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Colombia,the signature,Romance,[IAB1-5],Movies,externa,coincide,,tt28435822,movie,Drama,B,no_coincide,,448480,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Costa Rica,caesar's messiah: the roman conspiracy to invent jesus,Documentary,[IAB1],Arts & Entertainment,externa,compatible,generico,tt2133199,movie,"Documentary,History,News",A,coincide,,447360,"[332, 333]",Movies > Documentary Movies | Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
Indicue,Dominican Republic,Not Applicable,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,446640,,,,1,1,ninguna,
Select Plus PTE LTD (CTV),Mexico,youn%27g,Not Applicable,[IAB1-5],Movies,externa,coincide,,tt10442852,movie,"Action,Comedy,Crime",A,sin_genero_declarado,,442560,"[325, 330, 331]",Movies > Action and Adventure Movies | Movies > Comedy Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
